qid,edition,series_ordinal,label,date,nb_forged,nb_work,academic,literature,historical,music,religious,game,unknown,bd,cinema,videogame,franchise,confusing_mix,notes,,
Q16000545,,,13th Age,,1,0,,,,,,,,,,,,,,,
Q270118,1st ed.,1,7th Sea,,59,1,,,,,,g,,,,,,,,,
Q105349656,2nd ed.,2,7th Sea,2016,24,1,,,,,,g,,,,,,,,,
Q677281,,,A Game of Thrones,,0,92,,l,,,,,,,,,f,,,,
Q21233599,,,A Penny for My Thoughts,,0,1,a,,,,,,,,,,,,,,
Q1173528,,,Aberrant,,3,0,,,,,,,,,,,,,,,
Q106036479,,,Abstract Dungeon ,,0,0,,,,,,,,,,,,,,,
Q4673214,,,Aces & Eights: Shattered Frontier,,4,0,,,,,,,,,,,,,,,
Q64524669,,,Achtung Cthulhu!,,22,12,,l,h,,,,,,,,f,x,,,
Q727958,,,Aftermath!,,0,0,,,,,,,,,,,,,,,
Q106036541,,,Against the Darkmaster ,,0,0,,,,,,,,,,,,,,,
Q2849980,,,Anima: Beyond Fantasy,,0,26,a,l,h,,,,,,,,,,,,
Q16382540,1st ed.,1,Apocalypse World,,0,1,,,,,,g,,,,,,,,,
Q2859257,3rd ed.,,Aquelarre,,0,5,a,l,h,,r,,,,,,,,,,
Q64532728,,,Arcana Mvndi,,0,125,,l,h,,,,,,,,,,,,
Q4788315,,,Arduin,,0,0,,,,,,,,,,,,,,,
Q19872523,2nd ed.,2,Armageddon: The End Times,,14,2,,l,,,r,,u,,,,,x,,,
Q5453,4th ed.,4,Ars Magica,,1,0,,,,,,,,,,,,,,,
Q20312356,,,Ashen Stars,,0,0,,,,,,,,,,,,,,,
Q16382652,,,Athanor,,3,5,,l,,m,r,,u,,,,,,,,
Q66092444,,,"Aux Armes, Citoyens !",,0,2,,,h,,,,,,,,,,,,
Q2873310,,,Avant Charlemagne,,0,1,a,,,,,,,,,,,,,,
Q19866965,,,Babylon 5 Roleplaying Game,,0,1,a,,,,,,,,,,f,,,,
Q67799891,,,Barbarians of Lemuria,,14,0,,,,,,,,,,,,,,,
Q4866969,,,Basic Fantasy RPG,,0,0,,,,,,,,,,,,,,,
Q2633765,2nd ed.,2,Basic Role-playing BRP,,0,0,,,,,,,,,,,,,,,
Q2633765,3rd ed.,3,Basic Role-playing BRP,,0,0,,,,,,,,,,,,,,,
Q2633765,4th ed.,4,Basic Role-playing BRP,,0,0,,,,,,,,,,,,,,,
Q730232,1st ed.,1,Beyond the Supernatural,,13,0,,,,,,,u,,,,,,Same fictional work cited,,
Q730232,2nd ed.,2,Beyond the Supernatural,,10,0,,,,,,,,,,,,,Numerous unattributed fictive works,,
Q67881355,,,Beyond the Wall,,0,0,,,,,,,,,,,,,,,
Q2904952,10e anniversaire,3,Bitume,,4,14,,,,m,r,,,b,c,,,x,,,
Q2904952,1ere éd. ,1,Bitume,,0,1,,,,m,,,,,,,,,,,
Q2904952,2e éd.,2,Bitume,,0,1,,,,m,,,,,,,,,,,
Q67961453,,,Blood & Honor,,0,2,a,,,m,,,,,,,,,,,
Q100873858,Metal,2,Bloodlust ,,31,1,,l,,,,,,,,,,,,,
Q5455,,",",Blue Rose,,5,0,,,,,,,,,,,,,,,
Q66578414,,,Bluebeard's Bride: a Horror Tabletop RPG,,0,3,,l,,,,,,,,,,,,,
Q2924126,,,Brave New World,,0,1,,l,,,,,,,,,,,,,
Q18378873,,,Breaking the Ice,,0,1,,l,,,,,,,,,,,,,
Q2927394,,,Bubblegum Crisis,,10,0,,,,,,,,,,,,,,,
Q730333,,,Buffy the Vampire Slayer Roleplaying Game,,0,410,,,,,,,,,,,f,,,,
Q5457,1st ed.,1,Bunnies & Burrows,,0,0,,,,,,,,,,,,,,,
Q17002565,GURPS,2,Bunnies & Burrows,,0,0,,,,,,,,,,,,,,,
Q77275285,The Warren,3,Bunnies & Burrows,,0,14,,l,,,,g,,,,,f,,,,
Q4998337,,,Bureau 13,,5,0,,,,,,,,,,,,,,,
Q4999841,,,Burning Empires,,1,0,,,,,,,,,,,,,,,
Q1017492,,,Bushido,,0,0,,,,,,,,,,,,,,,
Q2931838,,,C.O.P.S.,,16,0,,,,,,,,,,,,,,,
