item,itemLabel,cited_works,cited_worksLabel
http://www.wikidata.org/entity/Q1027121,Call of Cthulhu,http://www.wikidata.org/entity/Q2633765,Basic Role-Playing
http://www.wikidata.org/entity/Q1027121,Call of Cthulhu,http://www.wikidata.org/entity/Q681338,RuneQuest
http://www.wikidata.org/entity/Q1034664,Buck Rogers XXVC,http://www.wikidata.org/entity/Q64597405,Advanced Dungeons & Dragons 1st edition
http://www.wikidata.org/entity/Q1042398,Paranoia,http://www.wikidata.org/entity/Q2164069,Traveller
http://www.wikidata.org/entity/Q1042398,Paranoia,http://www.wikidata.org/entity/Q1375,Dungeons & Dragons
http://www.wikidata.org/entity/Q1047814,Generic Universal Role Playing System,http://www.wikidata.org/entity/Q17528629,Empire of the Petal Throne
http://www.wikidata.org/entity/Q1047814,Generic Universal Role Playing System,http://www.wikidata.org/entity/Q281056,Champions
http://www.wikidata.org/entity/Q1047814,Generic Universal Role Playing System,http://www.wikidata.org/entity/Q683240,Tunnels & Trolls
http://www.wikidata.org/entity/Q1047814,Generic Universal Role Playing System,http://www.wikidata.org/entity/Q7733398,The Fantasy Trip
http://www.wikidata.org/entity/Q1061994,Changeling: The Dreaming,http://www.wikidata.org/entity/Q1883961,Mage: The Ascension
http://www.wikidata.org/entity/Q1061994,Changeling: The Dreaming,http://www.wikidata.org/entity/Q1933571,Wraith: The Oblivion
http://www.wikidata.org/entity/Q1061994,Changeling: The Dreaming,http://www.wikidata.org/entity/Q2142180,Werewolf: The Apocalypse
http://www.wikidata.org/entity/Q1061994,Changeling: The Dreaming,http://www.wikidata.org/entity/Q650924,Vampire: The Masquerade
http://www.wikidata.org/entity/Q11964665,Dangerous Journeys,http://www.wikidata.org/entity/Q64597405,Advanced Dungeons & Dragons 1st edition
http://www.wikidata.org/entity/Q11964665,Dangerous Journeys,http://www.wikidata.org/entity/Q1375,Dungeons & Dragons
http://www.wikidata.org/entity/Q1336480,Rifts,http://www.wikidata.org/entity/Q3342018,Ninjas & Superspies
http://www.wikidata.org/entity/Q1336480,Rifts,http://www.wikidata.org/entity/Q3785299,Heroes Unlimited
http://www.wikidata.org/entity/Q1336480,Rifts,http://www.wikidata.org/entity/Q730232,Beyond the Supernatural
http://www.wikidata.org/entity/Q1350935,Fate,http://www.wikidata.org/entity/Q17152446,The Dresden Files Roleplaying Game
http://www.wikidata.org/entity/Q1350935,Fate,http://www.wikidata.org/entity/Q7578028,Spirit of the Century
http://www.wikidata.org/entity/Q1350935,Fate,http://www.wikidata.org/entity/Q1375,Dungeons & Dragons
http://www.wikidata.org/entity/Q1476922,HeroQuest,http://www.wikidata.org/entity/Q3134306,Hero Wars
http://www.wikidata.org/entity/Q1476922,HeroQuest,http://www.wikidata.org/entity/Q681338,RuneQuest
http://www.wikidata.org/entity/Q15221892,Dungeon World,http://www.wikidata.org/entity/Q16382540,Apocalypse World
http://www.wikidata.org/entity/Q15221892,Dungeon World,http://www.wikidata.org/entity/Q17154019,Monsterhearts
http://www.wikidata.org/entity/Q15221892,Dungeon World,http://www.wikidata.org/entity/Q64528046,Shadow of Yesterday
http://www.wikidata.org/entity/Q15221892,Dungeon World,http://www.wikidata.org/entity/Q64597017,Dungeons & Dragons: Basic Set « Moldvay » 1981
http://www.wikidata.org/entity/Q15221892,Dungeon World,http://www.wikidata.org/entity/Q64597405,Advanced Dungeons & Dragons 1st edition
