qid,Label,Type,Author,Publisher,Date,Game_references,Misc_references,Quotations,Notes,
Q4559794,1914,board wargame,Dunnigan,Avalon Hill,1968,0,33,0,p. 34,
,1918 – Operation Michel,board wargame,Dunnigan,SPI,1972,5,0,0,"5 boardgames and wargames cited as comparison of complexity (Diplomacy, Monopoly, Panzerblitz, France 1940, Afrika Korps)",
,2e DB Normandie,board wargame,,Jeux Descartes,1983,0,0,1,1 letter from Marechal Leclerc,
Q342547,Acquire x ed.,board game,,Avalon Hill/Hasbro,1999,0,0,0,,
,Advanced Armati,miniature wargame,,,1995,0,0,0,,
Q379731,Advanced Squad Leader,miniature wargame,,Avalon Hill,1985,0,0,0,Cites a magazine article in The General,
Q48996845,After the Holocaust,board wargame,,SPI,1977,0,0,0,,
Q85740101,Agincourt,board wargame,Dunnigan,SPI,1978,0,19,0,"Annotated bibliography with 16 essays, 3 journals, and 2 curators of Museums",
Q4697873,Air Force,board wargame,,Avalon Hill,1976,0,0,0,,
,Albion: Land of Faerie,board wargame,,SPI,1981,0,0,0,,
Q106532447,Anleitung zur Darstellung militairischer Manover mit dem Apparat des Kriegs-Spiels,essay,von Reisswitz (jr),Mittler und Sohn,1824,0,0,0,,
Q4778462,Anzio,board wargame,Dunnigan,Avalon Hill,1969,0,0,0,,
Q10381152,Arab-Israeli Wars,board wargame,,Avalon Hill,1977,2,0,1,"1 quote, 2 wargames cited",
,Army Group South : Kiev,board wargame,,SPI,1979,1,0,0,Panzergruppe Guderian,
,Army Group South : Korsun,board wargame,,SPI,1979,1,0,0,Panzergruppe Guderian,
,Army Group South : Operation Star,board wargame,,SPI,1979,1,0,0,Panzergruppe Guderian,
,Army Group South : Rostov,board wargame,,SPI,1979,1,0,0,Panzergruppe Guderian,
,Atlantic Wall,board wargame,,SPI,1978,1,43,0,Full bibliography section. Cites Miniature War of Michael Korns.,
,Attack Sub,board wargame,,Avalon Hill,1991,0,0,0,,
,"Austerlitz, the battle of the 3 emperors",board wargame,,SPI,1972,1,0,0,Cites 1 wargame (Napoleon at Waterloo),
,Axis & Allies,board wargame,,Milton Bradley,1984,0,0,0,Rules booklet in French,
Q792553,Axis & Allies 2nd ed.,board wargame,,Milton Bradley,1986,0,0,0,,
,Axis & Allies Europe,board wargame,Larry Harris,Avalon Hill,1999,0,0,0,,
,Axis & Allies WW1 1914,board wargame,Larry Harris,"Avalon Hill, Wizards of the coast, Hasbro",2013,1,1,0,"Reproduction of famous ""I want you for U.S. Army"" recruitment poster",
Q4833644,B17 – Queen of the Skies,board wargame,,Avalon Hill,1981,0,16,0,16 ref.,
,Bastogne,board wargame,Dunnigan,SPI,1970,8,1,0,"Cites Battle of the Bulge, 1914, Jutland, Mons, Dreadnought, Crete, Afrika Korps, Blitzkrieg (wargames) + 1 essay",
Q4870030,Battle Cry x ed.,board wargame,,Avalon Hill/Hasbro,1999,0,0,1,Abraham Lincoln,
,Battle for Cassino,board wargame,,SPI,1978,0,0,0,,
Q4870159,Battle for Germany,board wargame,Dunnigan,SPI,1975,0,0,0,,
Q48996955,BattleFleet Mars,board wargame,Hessel & Simonsen,SPI,1977,0,0,3,3 epigraphs as mini-stories,
